RANC,396,396,396,396,396,0
RBMS,80,78,85,78,83,3
RDTX,8125,9000,9000,9000,9000,875
RELI,198,198,210,198,208,10
RICY,181,181,181,180,180,1
RIGS,332,332,338,316,318,14
RIMO,131,132,132,129,130,1
RISE,555,555,580,550,580,25
RMBA,408,408,408,364,368,40
RODA,246,246,254,232,246,0
ROTI,1305,1300,1320,1300,1305,0
RUIS,258,240,256,234,236,22
SAFE,206,206,206,200,200,6
SAME,515,515,525,510,520,5
SAPX,730,730,730,730,730,0
SATU,117,118,118,114,116,1
SCBD,2700,2700,2700,2700,2700,0
SCCO,9200,9200,9200,9200,9200,0
SCMA,1575,1565,1565,1520,1545,30
SCPI,29000,29000,29000,29000,29000,0
SDMU,51,50,51,50,51,0
SDPC,109,109,109,105,109,0
SDRA,850,850,850,850,850,0
SGRO,2200,2200,2300,2190,2200,0
SHID,3890,3680,3680,3540,3540,350
SHIP,815,815,815,805,815,0
SIAP,83,83,83,83,83,0
SIDO,940,940,975,925,960,20
SILO,4250,4210,4330,4200,4300,50
SIMA,61,62,64,61,62,1
SIMP,326,332,334,326,330,4
SIPD,890,890,890,890,890,0
SKBM,460,450,450,420,450,10
SKLT,1500,1500,1500,1500,1500,0
SKRN,402,410,416,406,406,4
SKYB,284,284,284,284,284,0
SMAR,4120,4120,4120,4120,4120,0
SMBR,620,620,620,595,600,20
SMCB,1480,1450,1480,1350,1480,0
SMDM,144,144,144,144,144,0
SMDR,298,302,306,298,304,6
SMGR,11050,10850,11400,10850,11200,150
SMMA,9900,9900,10000,9900,10000,100
SMMT,123,124,126,124,126,3
SMRA,1045,1070,1120,1060,1090,45
SMRU,114,114,115,102,115,1
SMSM,1610,1605,1670,1605,1655,45
SOCI,202,202,212,202,204,2
SONA,5700,5700,5700,5700,5700,0
SOSS,370,368,368,366,366,4
SOTS,310,310,310,298,308,2
SPMA,280,280,282,272,278,2
SPTO,960,965,970,960,965,5
SQMI,194,195,202,194,200,6
SRAJ,224,224,224,224,224,0
SRIL,332,332,338,332,338,6
SRSN,67,68,73,67,72,5
SRTG,3770,3770,3790,3770,3770,0
SSIA,580,580,585,575,575,5
SSMS,1025,1025,1050,1020,1025,0
SSTM,400,400,400,400,400,0
STAR,98,99,100,98,99,1
STTP,3710,3710,3710,3710,3710,0
SUGI,50,50,50,50,50,0
SULI,82,80,85,79,80,2
SUPR,6800,6800,6800,6800,6800,0
SURE,2950,2950,2970,2950,2970,20
SWAT,118,118,119,117,118,0
TALF,330,330,330,330,330,0
TAMU,4910,4920,5050,4910,4920,10
TARA,765,765,770,745,750,15
TAXI,50,50,50,50,50,0
TBIG,3350,3390,3700,3380,3630,280
TBLA,820,820,830,795,825,5
TBMS,885,870,870,865,865,20
TCID,14000,14000,14000,14000,14000,0
TCPI,6200,6175,6250,6050,6050,150
TDPM,292,292,296,290,296,4
TELE,660,690,690,600,630,30
TFCO,710,710,710,710,710,0
TGKA,3990,3990,3990,3990,3990,0
TGRA,820,815,820,815,820,0
TIFA,179,179,179,179,179,0
TINS,1105,1115,1145,1100,1120,15
TIRA,228,228,228,228,228,0
TIRT,65,65,65,64,64,1
